song,artist,album_type,is_explicit,total_days_on_chart,total_reentries,avg_gap_before_reentry,avg_popularity,avg_duration_min,reentry_frequency,fandom_intensity_score
You Were Beautiful,DAY6,album,False,60,13,15.3,64.66666666666667,4.72,6.5,45.18
Young Man,HYUKOH & 落日飛車 Sunset Rollercoaster,album,False,3,1,2.0,40.0,4.29,10.0,15.25
Young Man,HYUKOH & 落日飛車 Sunset Rollercoaster,single,False,6,0,0.0,51.833333333333336,4.29,0.0,19.94
bye,Ariana Grande,album,False,5,1,2.0,83.0,2.75,6.0,30.9
don't wanna break up again,Ariana Grande,album,True,1,0,0.0,84.0,2.9,0.0,29.7
double take,Dhruv,album,False,31,6,3.8,82.09677419354838,2.86,5.81,40.13
eternal sunshine,Ariana Grande,album,False,4,0,0.0,77.25,3.5,0.0,28.24
euphoria,Kendrick Lamar,single,True,3,1,2.0,81.0,6.39,10.0,29.6
greedy,Tate McRae,single,True,9,1,2.0,94.88888888888889,2.2,3.33,36.26
i don't know (with HUH YUNJIN of LE SSERAFIM),j-hope,single,False,1,0,0.0,65.0,3.05,0.0,23.05
i like the way you kiss me,Artemas,single,False,2,0,0.0,98.0,2.38,0.0,34.9
i wonder... (with Jung Kook of BTS),j-hope,single,False,14,0,0.0,77.42857142857143,2.73,0.0,31.3
lock / unlock (with benny blanco & Nile Rodgers),j-hope,single,False,1,0,0.0,65.0,3.03,0.0,23.05
luther (with sza),Kendrick Lamar,album,False,3,0,0.0,58.0,2.9599999999999995,0.0,21.2
number one girl,ROSÉ,single,False,4,0,0.0,76.75,3.61,0.0,28.06
plot twist,TWS,single,False,132,4,3.5,75.35606060606061,2.54,0.91,67.37
squabble up,Kendrick Lamar,album,True,3,0,0.0,83.66666666666667,2.63,0.0,30.18
vampire,Olivia Rodrigo,single,True,38,2,3.0,96.5,3.66,1.58,45.88
wacced out murals,Kendrick Lamar,album,True,1,0,0.0,81.0,5.28,0.0,28.65
we can't be friends (wait for your love),Ariana Grande,album,False,59,3,2.0,93.66101694915254,3.81,1.53,51.53
wherever u r (ft. V of BTS),UMI & V,single,False,70,2,4.0,86.1,2.55,0.86,51.83
"yes, and?",Ariana Grande,album,True,9,2,11.0,81.33333333333333,3.58,6.67,31.87
"yes, and?",Ariana Grande,single,True,34,1,3.0,95.41176470588235,3.58,0.88,43.94
アイドル,YOASOBI,album,False,1,1,5.0,30.0,3.53,30.0,11.15
アイドル,YOASOBI,single,False,117,2,11.0,89.77777777777777,3.55,0.51,67.22
地球儀 - Spinning Globe,Kenshi Yonezu,single,False,2,0,0.0,76.0,4.56,0.0,27.2
愛を伝えたいだとか,Aimyon,album,False,34,0,0.0,69.44117647058823,3.92,0.0,34.5
踊り子,Vaundy,album,False,85,3,2.3,70.50588235294117,3.82,1.06,51.23
青い珊瑚礁,Seiko Matsuda,album,False,11,0,0.0,52.81818181818182,3.67,0.0,21.79
녹아내려요 Melt Down,DAY6,single,False,2,1,2.0,55.0,2.76,15.0,20.2
"무제(無題) (Untitled, 2014)",G-DRAGON,single,False,2,1,22.0,59.5,3.71,15.0,21.78
예뻤어,DAY6,album,False,2,1,2.0,49.0,4.72,15.0,18.1
한 페이지가 될 수 있게,DAY6,single,False,2,1,2.0,52.0,3.43,15.0,19.15
